Date,regime_pdrc
2005-03-30,Fragile
2005-03-31,Fragile
2005-04-01,Volatile
2005-04-04,Volatile
2005-04-05,Fragile
2005-04-06,Fragile
2005-04-07,Stable
2005-04-08,Stable
2005-04-11,Stable
2005-04-12,Crisis
2005-04-13,Stable
2005-04-14,Illiquid
2005-04-15,Volatile
2005-04-18,Volatile
2005-04-19,Volatile
2005-04-20,Volatile
2005-04-21,Fragile
2005-04-22,Volatile
2005-04-25,Volatile
2005-04-26,Volatile
2005-04-27,Volatile
2005-04-28,Volatile
2005-04-29,Volatile
2005-05-02,Volatile
2005-05-03,Volatile
2005-05-04,Fragile
2005-05-05,Volatile
2005-05-06,Volatile
2005-05-09,Volatile
2005-05-10,Volatile
2005-05-11,Volatile
2005-05-12,Volatile
2005-05-13,Volatile
2005-05-16,Volatile
2005-05-17,Volatile
2005-05-18,Fragile
2005-05-19,Fragile
2005-05-20,Crisis
2005-05-23,Crisis
2005-05-24,Stable
2005-05-25,Stable
2005-05-26,Stable
2005-05-27,Stable
2005-05-31,Stable
2005-06-01,Stable
2005-06-02,Stable
2005-06-03,Stable
2005-06-06,Stable
2005-06-07,Stable
2005-06-08,Stable
2005-06-09,Stable
2005-06-10,Stable
2005-06-13,Stable
2005-06-14,Stable
2005-06-15,Stable
2005-06-16,Stable
2005-06-17,Stable
2005-06-20,Stable
2005-06-21,Stable
2005-06-22,Stable
2005-06-23,Stable
2005-06-24,Stable
2005-06-27,Stable
2005-06-28,Stable
2005-06-29,Stable
2005-06-30,Stable
2005-07-01,Stable
2005-07-05,Stable
2005-07-06,Stable
2005-07-07,Stable
2005-07-08,Stable
2005-07-11,Stable
2005-07-12,Crisis
2005-07-13,Crisis
2005-07-14,Stable
2005-07-15,Crisis
2005-07-18,Stable
2005-07-19,Crisis
2005-07-20,Crisis
2005-07-21,Stable
2005-07-22,Crisis
2005-07-25,Stable
2005-07-26,Stable
2005-07-27,Crisis
2005-07-28,Crisis
2005-07-29,Stable
2005-08-01,Stable
2005-08-02,Stable
2005-08-03,Stable
2005-08-04,Illiquid
2005-08-05,Stable
2005-08-08,Volatile
2005-08-09,Stable
2005-08-10,Stable
2005-08-11,Fragile
2005-08-12,Volatile
2005-08-15,Fragile
2005-08-16,Volatile
2005-08-17,Volatile
2005-08-18,Volatile
2005-08-19,Volatile
2005-08-22,Volatile
2005-08-23,Volatile
2005-08-24,Volatile
2005-08-25,Volatile
2005-08-26,Volatile
2005-08-29,Volatile
2005-08-30,Volatile
2005-08-31,Fragile
2005-09-01,Volatile
2005-09-02,Volatile
2005-09-06,Volatile
2005-09-07,Fragile
2005-09-08,Volatile
2005-09-09,Stable
2005-09-12,Stable
2005-09-13,Stable
2005-09-14,Volatile
2005-09-15,Illiquid
2005-09-16,Stable
2005-09-19,Stable
2005-09-20,Illiquid
2005-09-21,Volatile
2005-09-22,Volatile
2005-09-23,Volatile
2005-09-26,Volatile
2005-09-27,Illiquid
2005-09-28,Illiquid
2005-09-29,Stable
2005-09-30,Stable
2005-10-03,Illiquid
2005-10-04,Illiquid
2005-10-05,Volatile
2005-10-06,Volatile
2005-10-07,Volatile
2005-10-10,Volatile
2005-10-11,Volatile
2005-10-12,Volatile
2005-10-13,Volatile
2005-10-14,Volatile
2005-10-17,Volatile
2005-10-18,Volatile
2005-10-19,RiskOn
2005-10-20,Volatile
2005-10-21,Volatile
2005-10-24,Volatile
2005-10-25,Volatile
2005-10-26,Volatile
2005-10-27,Volatile
2005-10-28,Volatile
2005-10-31,Volatile
2005-11-01,Volatile
2005-11-02,Volatile
2005-11-03,Volatile
2005-11-04,Volatile
2005-11-07,Volatile
2005-11-08,Volatile
2005-11-09,RiskOn
2005-11-10,Crisis
2005-11-11,Crisis
2005-11-14,Fragile
2005-11-15,Fragile
2005-11-16,Fragile
2005-11-17,Stable
2005-11-18,Stable
2005-11-21,Crisis
2005-11-22,Stable
2005-11-23,Fragile
2005-11-25,Fragile
2005-11-28,Fragile
2005-11-29,Stable
2005-11-30,Stable
2005-12-01,Stable
2005-12-02,Stable
2005-12-05,Stable
2005-12-06,Stable
2005-12-07,Illiquid
2005-12-08,Illiquid
2005-12-09,Stable
2005-12-12,Stable
2005-12-13,Stable
2005-12-14,Stable
2005-12-15,Stable
2005-12-16,Stable
2005-12-19,Stable
2005-12-20,Stable
2005-12-21,Stable
2005-12-22,Stable
2005-12-23,Stable
2005-12-27,Stable
2005-12-28,Stable
2005-12-29,Stable
2005-12-30,Stable
2006-01-03,Stable
2006-01-04,Stable
2006-01-05,Stable
2006-01-06,Stable
2006-01-09,Illiquid
2006-01-10,Stable
2006-01-11,Illiquid
2006-01-12,Illiquid
2006-01-13,Illiquid
2006-01-17,Illiquid
2006-01-18,Illiquid
2006-01-19,Illiquid
2006-01-20,Crisis
2006-01-23,Volatile
2006-01-24,Volatile
2006-01-25,Volatile
2006-01-26,RiskOn
2006-01-27,RiskOn
2006-01-30,RiskOn
2006-01-31,Illiquid
2006-02-01,Illiquid
2006-02-02,Illiquid
2006-02-03,Volatile
2006-02-06,Volatile
2006-02-07,Volatile
2006-02-08,Fragile
2006-02-09,Volatile
2006-02-10,Fragile
2006-02-13,Volatile
2006-02-14,Illiquid
2006-02-15,Illiquid
2006-02-16,RiskOn
2006-02-17,Illiquid
2006-02-21,Illiquid
2006-02-22,Illiquid
2006-02-23,Illiquid
2006-02-24,Stable
2006-02-27,Illiquid
2006-02-28,Illiquid
2006-03-01,Crisis
2006-03-02,Stable
2006-03-03,Illiquid
2006-03-06,Illiquid
2006-03-07,Illiquid
2006-03-08,Illiquid
2006-03-09,Illiquid
2006-03-10,Stable
2006-03-13,Crisis
2006-03-14,Crisis
2006-03-15,RiskOn
2006-03-16,RiskOn
2006-03-17,Illiquid
2006-03-20,Illiquid
2006-03-21,Illiquid
2006-03-22,Crisis
2006-03-23,Crisis
2006-03-24,Stable
2006-03-27,Illiquid
2006-03-28,Stable
2006-03-29,Crisis
2006-03-30,Stable
2006-03-31,Stable
2006-04-03,Stable
2006-04-04,Stable
2006-04-05,Stable
2006-04-06,Illiquid
2006-04-07,Illiquid
2006-04-10,Illiquid
2006-04-11,Crisis
2006-04-12,Illiquid
2006-04-13,Illiquid
2006-04-17,Illiquid
2006-04-18,Stable
2006-04-19,Crisis
2006-04-20,Illiquid
2006-04-21,Illiquid
2006-04-24,Illiquid
2006-04-25,Stable
2006-04-26,Stable
2006-04-27,Illiquid
2006-04-28,Stable
2006-05-01,Illiquid
2006-05-02,Illiquid
2006-05-03,Illiquid
2006-05-04,Illiquid
2006-05-05,Illiquid
2006-05-08,Illiquid
2006-05-09,Illiquid
2006-05-10,Illiquid
2006-05-11,Illiquid
2006-05-12,Crisis
2006-05-15,Volatile
2006-05-16,Volatile
2006-05-17,Volatile
2006-05-18,Volatile
2006-05-19,Volatile
2006-05-22,Volatile
2006-05-23,Volatile
2006-05-24,Volatile
2006-05-25,Volatile
2006-05-26,Volatile
2006-05-30,Volatile
2006-05-31,Volatile
2006-06-01,Volatile
2006-06-02,Volatile
2006-06-05,Volatile
2006-06-06,Crisis
2006-06-07,Crisis
2006-06-08,Volatile
2006-06-09,Volatile
2006-06-12,Volatile
2006-06-13,Volatile
2006-06-14,Volatile
2006-06-15,Fragile
2006-06-16,Fragile
2006-06-19,Volatile
2006-06-20,Illiquid
2006-06-21,Illiquid
2006-06-22,Illiquid
2006-06-23,Illiquid
2006-06-26,Illiquid
2006-06-27,Illiquid
2006-06-28,Illiquid
2006-06-29,Illiquid
2006-06-30,Illiquid
2006-07-03,Illiquid
2006-07-05,Illiquid
2006-07-06,Illiquid
2006-07-07,Illiquid
2006-07-10,Illiquid
2006-07-11,Illiquid
2006-07-12,Illiquid
2006-07-13,Crisis
2006-07-14,Crisis
2006-07-17,Crisis
2006-07-18,Crisis
2006-07-19,Illiquid
2006-07-20,Illiquid
2006-07-21,Crisis
2006-07-24,Illiquid
2006-07-25,Illiquid
2006-07-26,Illiquid
2006-07-27,Illiquid
2006-07-28,Stable
2006-07-31,Stable
2006-08-01,Stable
2006-08-02,Illiquid
2006-08-03,Fragile
2006-08-04,RiskOn
2006-08-07,RiskOn
2006-08-08,RiskOn
2006-08-09,RiskOn
2006-08-10,RiskOn
2006-08-11,RiskOn
2006-08-14,RiskOn
